pid,label,agent,_date,recnum,catalogrecord,collectionnum,worktype,_tags,originalwork,citeas,repository,archcoll,box,folder,format,rights,order,layout,collection,thumbnail,full,bibliography,collectingprogram,materials,description,measurement
obj11,Parchment fragment on f. 132,"",1323-1350,RMC2009_0159,3978609,"",parchment,Catholic Church --Liturgy --Texts --Manuscripts,Ordo manualis [Ferrariensis Ecclesiae],"",Division of Rare and Manuscript Collections_Cornell University Library,"","","",image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",10,medfrag_item,medievalfragments,/img/derivatives/simple/obj11/thumbnail.jpg,/img/derivatives/simple/obj11/fullwidth.jpg,f. 132,Manuscripts,"","",""
obj12,Parchment fragment on f. 169,"",1323-1350,RMC2009_0161,3978609,"",parchment,Catholic Church --Liturgy --Texts --Manuscripts,Ordo manualis [Ferrariensis Ecclesiae],"",Division of Rare and Manuscript Collections_Cornell University Library,"","","",image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",11,medfrag_item,medievalfragments,/img/derivatives/simple/obj12/thumbnail.jpg,/img/derivatives/simple/obj12/fullwidth.jpg,f. 169,Manuscripts,"","",""
obj13,Parchment fragment on f. 58,"",1323-1350,RMC2009_0155,3978609,"",parchment,Catholic Church --Liturgy --Texts --Manuscripts,Ordo manualis [Ferrariensis Ecclesiae],"",Division of Rare and Manuscript Collections_Cornell University Library,"","","",image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",12,medfrag_item,medievalfragments,/img/derivatives/simple/obj13/thumbnail.jpg,/img/derivatives/simple/obj13/fullwidth.jpg,f. 58,Manuscripts,"","",""
obj14,Parchment fragment on f. 66,"",1323-1350,RMC2009_0157,3978609,"",parchment,Catholic Church --Liturgy --Texts --Manuscripts,Ordo manualis [Ferrariensis Ecclesiae],"",Division of Rare and Manuscript Collections_Cornell University Library,"","","",image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",13,medfrag_item,medievalfragments,/img/derivatives/simple/obj14/thumbnail.jpg,/img/derivatives/simple/obj14/fullwidth.jpg,f. 66,Manuscripts,"","",""
obj15,"AM [aman. frag.] [Divina commedia. Purgatorio: Canto XXXI lines 45-145; Canto XXXII lines 1-90] (Manuscript fragment from Dante, Divine Comedy)",Unknown,1350,U0250_0049,"","",manuscripts (document genre),"","","","","","","",image/jpeg,For Educational Use by Cornell Community,14,medfrag_item,medievalfragments,/img/derivatives/simple/obj15/thumbnail.jpg,/img/derivatives/simple/obj15/fullwidth.jpg,"","",on vellum,"",""
obj16,Bonaventure's Lyffe of Chryste in Englysshe p.4,"",1430,RMC2007_0221,3817329,"","text
prints (visual works)",Religion,The Mirrour of the Blessed Lyf of Jesu Christi / Nicholas Love,"",Division of Rare and Manuscript Collections_Cornell University Library,"","","",image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",15,medfrag_item,medievalfragments,"","",p.4,Rare Books,"",Bonaventure's Life of Christ in England,""
obj17,Bonaventure's Lyffe of Chryste in Englysshe p.2,"",1430,RMC2007_0219,3817329,"","text
prints (visual works)",Religion,The Mirrour of the Blessed Lyf of Jesu Christi / Nicholas Love,"",Division of Rare and Manuscript Collections_Cornell University Library,"","","",image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",16,medfrag_item,medievalfragments,"","",p.2,Rare Books,"",Bonaventure's Life of Christ in England,""
obj18,Bonaventure's Lyffe of Chryste in Englysshe p.1,"",1430,RMC2007_0218,3817329,"","text
prints (visual works)",Religion,The Mirrour of the Blessed Lyf of Jesu Christi / Nicholas Love,"",Division of Rare and Manuscript Collections_Cornell University Library,"","","",image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",17,medfrag_item,medievalfragments,"","",p.1,Rare Books,"",Bonaventure's Life of Christ in England,""
obj19,Bonaventure's Lyffe of Chryste in Englysshe p.3,"",1430,RMC2007_0220,3817329,"","text
prints (visual works)",Religion,The Mirrour of the Blessed Lyf of Jesu Christi / Nicholas Love,"",Division of Rare and Manuscript Collections_Cornell University Library,"","","",image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",18,medfrag_item,medievalfragments,"","",p.3,Rare Books,"",Bonaventure's Life of Christ in England,""
obj20,[Abbreviated version of the Collato.],"",1450,RMC2005_0639,3548515,"",manuscripts (document genre),"",Secretum,"",Division of Rare and Manuscript Collections_Cornell University Library,"","","",image/jpeg,"",19,medfrag_item,medievalfragments,"","","",Rare Books,"","","285.0 x 200.0 (millimeters, height x width)"
